fi_id_cou;ser_nameshort;fi_date;fi_year;ge_stage;lengthmm;weightg;fi_comment
209832;VilTG;2013-05-13;2013;VIA3;66;0.163;
209838;VilTG;2013-05-13;2013;VIA4;71.5;0.201;
209837;VilTG;2013-05-13;2013;VIA4;66;0.197;
209836;VilTG;2013-05-13;2013;VIA4;73;0.207;
209835;VilTG;2013-05-13;2013;VIA4;73.5;0.279;
209833;VilTG;2013-05-13;2013;VIA4;68;0.226;
212580;VilTG;2013-07-29;2013;VIA3;69.5;0.157;
212584;VilTG;2013-07-29;2013;VIA0;69.5;0.23;
212585;VilTG;2013-07-29;2013;VIA4;64;0.168;
212586;VilTG;2013-07-29;2013;VIA2;58;0.109;
212587;VilTG;2013-07-29;2013;VIA3;61.5;0.145;
212588;VilTG;2013-07-29;2013;VIA0;70;0.221;
212589;VilTG;2013-07-29;2013;VIA2;69;0.245;
212590;VilTG;2013-07-29;2013;VIA1;66.5;0.21;
212591;VilTG;2013-07-29;2013;VIA4;67;0.182;
212592;VilTG;2013-07-29;2013;VIA1;70;0.259;
212593;VilTG;2013-07-29;2013;VB;68.5;0.248;
212594;VilTG;2013-07-29;2013;VIA2;66.5;0.192;
212595;VilTG;2013-07-29;2013;VIA2;68;0.181;
212596;VilTG;2013-07-29;2013;VIA3;61;0.159;
212597;VilTG;2013-07-29;2013;VIA2;63;0.168;
212598;VilTG;2013-07-29;2013;VIA3;61;0.152;
212599;VilTG;2013-07-29;2013;VIA1;65;0.187;
212600;VilTG;2013-07-29;2013;VIA4;66.5;0.17;
212601;VilTG;2013-07-29;2013;VIA3;65.5;0.209;
212602;VilTG;2013-07-29;2013;VIA1;68.5;0.236;
212603;VilTG;2013-07-29;2013;VIA0;73.5;0.295;
212604;VilTG;2013-07-29;2013;VIA3;73;0.269;
212605;VilTG;2013-07-29;2013;VIA1;66;0.219;
212606;VilTG;2013-07-29;2013;VIA2;62;0.176;
212607;VilTG;2013-07-29;2013;VIA4;68;0.213;
212608;VilTG;2013-07-29;2013;VIA2;64;0.187;
212609;VilTG;2013-07-29;2013;VIA3;57;0.114;
212610;VilTG;2013-07-29;2013;VIA3;68;0.241;
212612;VilTG;2013-07-29;2013;VIA2;69;0.242;
212613;VilTG;2013-07-29;2013;VIA3;64.5;0.117;
212614;VilTG;2013-07-29;2013;VIA1;63;0.196;
212615;VilTG;2013-07-29;2013;VIA3;65;0.136;
212616;VilTG;2013-07-29;2013;VIA2;64;0.186;
212617;VilTG;2013-07-29;2013;VIA0;66;0.189;
212618;VilTG;2013-07-29;2013;VIA3;67;0.12;
212619;VilTG;2013-07-29;2013;VIA0;68;0.251;
212629;VilTG;2013-07-29;2013;VIA1;67;0.189;
212583;VilTG;2013-07-29;2013;VIA0;70;0.27;
212624;VilTG;2013-07-29;2013;VIA1;67;0.189;
212628;VilTG;2013-07-29;2013;VIA2;64;0.187;
212620;VilTG;2013-07-29;2013;VIA2;66;0.246;
212625;VilTG;2013-07-29;2013;VIA3;64;0.173;
212626;VilTG;2013-07-29;2013;VIA3;65;0.177;
212581;VilTG;2013-07-29;2013;VB;70.5;0.292;
212621;VilTG;2013-07-29;2013;VIA4;65.5;0.14;
212582;VilTG;2013-07-29;2013;VIA0;71.5;0.269;
212622;VilTG;2013-07-29;2013;VIA2;66;0.157;
212579;VilTG;2013-07-29;2013;VIA4;63.5;0.153;
